transcript,summary
"We're not there yet. Yes, that's good. ",We're not there yet
"Really build out this very rich, um, experience, uh, very easily. Um, I think the very last thing I'm just going to point out and I think, you know, the time permitted, you probably want to spend a lot deeper dive on here, but, um, you know, the heart of it really it's being able to start to provide very personalized experiences. And so this is a core foundational component that we have this Paul. So what I'm going to do is I'm adding, you know, my profile, um, to, to the canvas, I'm going to click save. And so really what this profile is, is imagine, right? I'd have the ability to, uh, stitch together this knowledge representation of a member based off of all their declared attributes that are being fed from your data fabric, from CRM systems and DM systems, all the observed behaviors around their click string and other work on your member portal, Sydney care, or call it in the call center and all the inferences.  So all of them, the machine learning models, all these outputs, right, are being produced and Anthem, right. To drive this very rich experience. I want to just do is, you know, S the exact same question, one final time with the profile now, right. It's pointing to, and you see, I get immediately, right? The right response. I'm looking to look at ways of how we can get a little bit more proactive or in an advocacy setting. While I may not have been asking about, you know, options that are close by to me, right. It's letting me know that I have other places that I could go to that are in network based off of my profiles, demographic features based off of the provider's demographics off the policies of what I have as in network. Well, all of this is kind of driving, you know, a way of how we're able to do you start to bring together a lot of these assets in this tool, and very simply go through and start to create this rich experience. Um, so let me just show you, I'm just going to show it very quickly. One last piece of the tool, which is all around, um, what does that profile actually like?  Yeah. Um, so this is our, uh, profile visualization tool that this is where you're able to go and start to identify kind of what the schema is, um, that you would like your profile to be. So this is actually an editor as well, so to go into edit, um, and I can start to add, well, how can I do that in this demonstration? And I'm just going to point out a few things, right. Um, as I mentioned, a profile for, you know, what a member could be, that's based off of declared information. So things like their demographics, how long. ","Really build out this very rich experience very easily i think the very last thing I'm just going to point out. So what I'm going to do is I'm adding my profile to the canvas, I'm going to click save. And so really what this profile is, is imagine, right? I'd have the ability to stitch together this knowledge representation of a member based off of all their declared attributes that are being fed from your data fabric, from CRM systems and DM systems. all the observed behaviors around their click string and other work on your member portal, Sydney care, or call it in the call center and all the inferences.  So all of them, the machine learning models, all these outputs are being produced to drive this very rich experience."
"Yes, actually I will be joining a Bank.",Anuj is joining a Bank.
"AI is like the multiplication. Yeah. Right. Exactly. You know, it's, it's everywhere. Yeah. ",Artificial Intelligence is everywhere
"So, so I don't want to predict the future, but I also don't want to promise the mission creep. Right. If we, if we set out to do too many things, we'll fail at tomorrow. Um, and I think, you know, if we've got to, uh, support both, you know, non AI oriented web applications and AI oriented data processing applications, we've set ourselves up to fail. It doesn't mean that we can't succeed at what you, what you're asking for. Right. But I think that in terms of, you know, the minimum viable product, um, I'd really rather just, we keep the focus on, on, uh, specifically the, the, the, uh, AI use case where we are putting in place, things that learn from data and use the data. Yeah. ","I feel that as far as, you most likely are aware um, I'd really rather just keep the focus on, specifically the, AI use case where we are putting in place, things that learn from data and use the data. "
"Let me, let me just talk and I'll put it for next next week. ",I'll put it for next week. 
"So, okay. So I'll repeat whatever I said before the recording. So, Avinash you have done for the first video,  you have done the classification task as well. So, now for the second video you do the same thing, till the classification and both the excel sheets you can share. So, that will be the first task done. Then one second, let me share that , that excel sheet where I created the plan. One second. Yeah So, is my Screen visible.",Avinash has to do the same thing for second video as he has done for the first video till classification and share both the excel sheets.
Isn't everything has we picked the right use case from a developer productivity and going back. ,Have we picked the right use case from the developer productivity?
"Blocked for the bigger use cases that will solve the business problems. Makes sense. Perfect. No, I think that's exactly it. Cause your exercises, the system end to end. That's why I like X wing and the forest analogy, because it's not just about going GA is also integrating that into the Anthem use cases and. ",GA is integrating that into the use cases of Anthem.
"Yeah. So one clarification photo, right? So the use cases are the piece that we've selected GBD, um, you know, an area to be selected there, it SJ, PII stars, those to deliver, regardless of whether or not work or success, right. I mean, there's existing ways to deliver those things and we will leverage as much of the componentry as we can. Um, but still want to deliver those as part of our future work program, to the extent that, uh, that MVP could be delivered through what we're trying to do is say let's either select a sub component of that MBC and delivered to work or pick, uh, an extended use case that we could deliver to work, just so that the development tool and Daniel's point also gets sort of, yeah. ",We want to deliver the use cases that we have selected GBD as part of our future work program. We will leverage as much componentry as we can. Either selec a sub component of MVC and deliver or pick an extended use case that we could deliver to work.
"Amy is really in the contacts tab. First time I heard we're going to have lots of words whilst we're doing campaigns. Maybe the example is not the right thing.  That's what I mean. Okay. Nice  And old, uh, old school database marketing versus a modernize it's. ","This examples is not right thing,we have lot of words whilst in campaigns."
"And I will also have a look at it. I will also compare and maybe I will also come up with the ideas. Yes, but parallely, you both also look at that and come up with ideas.. ",Come up with the ideas.
"Of all of that is we envision a future where we are, you know, 30 to 40% more efficient and automated than where we are, where we are today. Uh, we have, uh, a correspondingly right-sized, uh, U S workforce that's focused on design customer service, customer intimacy and cost of care and things that are. ","Using Future of work to make workplace 30 to 40% more efficient by involving automation. It should be focussed on customer service, customer intimacy and care."
We have those other jam sessions. Right? Got it. On the scale. ,we also have other JAM sessions
"It's actually a, this has been an hour, I think we'll end up having more than two personas here because you know, one side is the supply side. So where you have people publishing all their data ops or ML ops, or ABI ops, for lack of a better word where those things are, the call it, the Lego blocks that are being provided. Then you have this middle piece, which is around the local composition, orchestration and deployment, as well as learning and all the measurement and everything else. And then there is the ongoing governance and ongoing measurement and monitoring what we are calling as operational intelligence. So one of the reasons to kind of flesh this out is to start this as a question, I think sort of our, um, our project as last time is how many deans are we talking about here? And who's got w who's majoring on what, and who's minoring on what, and I think that's part of the work that we have to flesh out based on how things are organized, even across Anthem, between legato versus the team versus the cloud and infrastructure team, some of that, but our core focus for this one is primarily that AI developer, that AI. ","In supply side weh have people publishing all their DataOps , MLOps, ABIOps these things are call as Lego blocks.Middle piece is around the local composition,orchestration and deployment as well as learning."
"We already know that we will be classifying questions, exclamations and, uh, some special tasks like that, while topics extraction, like what is the theam on which we are talking about? So whether we are talking about workOS, we are talking about Docker in that particular sentence. So like that you will have to extract those topics. ","classifying questions, exclamations and, some special tasks where your topics extraction."
"So in fact that is especially with Steve, with you today, just to see how we can integrate the hotter Amelia into the developer studio. We got a pretty good discussion and I have an extra item as a follow up to, um, you know, to discuss with, um, you know, John and all, we can bring that in, but yeah, definitely, you know, he's in the loop and. ",We got into a very decent conversation regarding how we can integrate Auto ML into developer studio.
"I'll have some of the highlights it's unfortunately it's not a $0. Um, it's a one year contract. It's separate from, um, an ILS XX contracts as an upfront payment of a million when we execute, which I think hopefully can happen in a week or a couple of weeks. And then we there's some deliverables in December. So proving out the business capabilities that it can handle legacy systems, putting an MVP in place. Once they hit those, we pay them again for a million. So $5 million all in 12 month deal for all the, um, all the cortex horrors that we should need and all that professional services that we should need to build it so that that's, and we're trying to get authorizations so you guys can start work and Mitch can pull people on before we get all the final approvals. So we can through that as well. ",It is a one year contract. It is separate from an ILS XX contracts as an upfront payment of a million. ILS XX contracts can hopefully happen in a couple of weeks. $5 million all in 12 month deal for all the cortex horrors that we should need and all that professional services that we should need to build it. Trying to get authorizations for you guys to start work and Mitch can pull people on before we get all the final approvals.
"No, I think the spirit, I just wanted to add, um, um, synced up with Joel and Bobby, just about an hour and a half, two hours ago. We're past the red lines. There's a final rev. That's going back. Well, uh, should be, should be good to go ready for signature or at least the workflow. I think it's really important for us to get this accelerator and closed out. Uh, since we're, we're bringing in some, some high powered user experience slash designer folks, uh, set of cognitive scale. And I think it appears to be a two to three week runway from what I understand some seeking the stakeholders on this call to get this accelerated as expressed as we appreciate that.  Okay. ",We are past the red lines as I synced up with Joel and Bobby. There is a final rev tat is going back. We are bringing in some high powered user experience or designer folks. It appears to be a two to three week runway but some seek this to get accelerated and we appreciate that.
"Yeah, I think, um, you know, I feel that, you know, if you go to that definition earlier, John, yet you had that workOS is, uh, can you do, if you don't mind, can you go to the slide that you had, the definition of workOS? Yeah. So a low-code AI developer platform and everything. I think it's beyond AI.",WorkOS is a low-code AI developer platform
"That you have out here, the business utility at the top, because we have some things which basically are providing a difference. So I would just say that business unit perspective, understanding what is going to make a material difference in the life of somebody who's doing a work. So I would say that we need to pick something, which we know that we are, make some progress in some areas. And how do we then. "," In the business unit perspective, understanding what is going to make a material difference in the life of somebody who's doing a work."
"And others are creating to really now develop and kind of as the use cases from the future perspective,  That makes sense. ",Then they go into the team that Prashant and others are creating to develop the use cases from the future perspective. 
"So I think, I think where we're working on that, the deepen. ",we are working on the deepen.
"Tend to the use case has done. Exactly.  Okay. That makes sense. Then I just wanted to make sure, so an expert developer could be somebody who's working on a basic use case. ",An expert developer is somebody who's working on a basic use case.
"Index, and then we will have it transcribed so that we can pull out some of the key, um, items that we're discussing and eventually start working on our backlog list. Um, but I did want to let everybody know that it is being recorded. ",Pull out key points from transcription and start working on backlog list. Session is being recorded.
"Behind or, uh, on the, on the service side  Currently you're on the latest version. ",Currently you are on the latest version on the Server side.
"Coding and forms and individual pieces and into a higher level of, of, uh, management of the, of the complexity. And I think that's really an important part of, of what we're trying to achieve here, right? Is that right now we are, you don't even realize it. You are, you, you become everybody on this call is a wizard level person in coping with complexity and the goal. ",Coding forms individual pieces into higher level of management of the complexity this is really important part of what we're trying to achieve here.
With what I was thinking. That's the. ,What I'm thiniking.
And the other on that. Exactly. Okay. Thanks. ,Similar to that.
"Some you've been curating with the business. So maybe you can share those around if you have anything handy right now.  Um, um, yeah, there are a few use cases which has come up in the last. ",Those who are curating with the business.Can share those if you have anything handy right now.
"Construct here. Right? So when we talk about, um, the design system that has user journeys, personas and, and you, you almost need like a github for the design system itself. Correct. As you might say, I want to have like, Hey, build a new intervention for a diabetic patient. You know, we probably have 50 personas for people that have diabetes and like 10 user journeys. So we need to be able to pull that up and say, model the scenarios to say, okay, how do we want to change journeys to stays this? And then we gotta be then look for, um, AI model, uh, existing campus opponents that would enable that and things that we could start with modifying or to fulfill that. But I don't think we'd want to jump straight into, um, data science models and app code in our districts. ","Based on the use case we need to feed the user journeys,personas pulled from design systems to the AI models."
"Follow the same theme about that cross team collaboration. So for the, uh, for the interest of time, we're also going to set up some communication patterns, uh, a couple areas that we want to keep track of are we want to keep things in JIRA. Uh, we're also looking at creating a couple of email lists because trying to work out who is involved with the workload with stream is going to become overbearing, but we stand, we want to make sure that we have the appropriate mailing lists. So if you want to target a specific group, then you just target that, that list. And we can publish where we can publish those on confluence somewhere. What, um, uh, that, that information. I also have some architects, some very high level architectural diagrams, but I think in the interest of time, we can probably skip them today, unless you're all very interested in that path. ","Setting up communication patterns to keep track like keeping things in JIRA and creating appropriate email lists, so that a specific group can be targetted and can publish those on confluence."
What happened ? Suddenly leaving Legato?,Himanshu asked Anuj about leaving Legato.
"I just want to, I just want to end on this, this last slide on how our envisioning this working and I'm conscious of making sure that I fit within Bobby's timeframe of 15 minutes. So I'm just going to ask Laksh if you can just kind of briefly go over this slide to just kind of start to see how we're we're conceptualizing, um, building our, these use cases on top of cortex V6","Laksh will briefly explain how we're conceptualizing,building our use cases on top of cortex V6."
"Course. Um, what is the workforce use case look like here? So aren't we in some respects kind of, if I take a step back and say, we're thinking about the workforce of the future, if we were to say where we're focusing on improving, say developer productivity and developer tools, that's fair, but there is the use case that would say we have, you know, say a claims processor today. How are we enabling them to be able to go create an AI mission? If they say, Hey, I want to go create a clinical intervention, um, on, uh, based on that. ",We are focusing on improving developer productivity and developer tools. But How are we enabling them to be able to go create an AI mission.
"Yeah. So I think you're talking about two things, right? That I don't disagree with you that if we take a bigger bite than we can chew, then we don't chew. Right. So I would say that, uh, what our MVP is in our hands, but what the product looks like at the end is a broader definition. So I'm totally okay with you defining an MVP, which is air focused and everything. But at the same time, I just want to make sure that we all agree that this is beyond the AI This is a lot of other things that are going to go back. So I'm totally fine with that. I just don't know  It's going to enable so many good things. Okay.  Exactly. Exactly. So I think that the end vision of what workOS we need to make sure that we clean up the definition and make sure that we show that what is there. And then basically if we pick the AI use cases that John had out there, uh, awesome. ","So I would say our MVP is in our hands, but what the product looks like at the end is a broader definition.We need to make sure that we clean up the definition of end vision of workOs and then if we pick the AI use cases that John had out there it will be awesome."
"There's going to be kinda this slide where Ted asked me to focus a little bit more on the tooling aspect of what we have in, um, cortex, um, looking more at, you know, studio and how we're able to start to integrate and orchestrate these, these models, algorithms RPA box. So I thought I'd do is just give a very brief overview of cortex IP again, uh, you know, spend more time with everybody later, uh, jumping into the demonstration. And then, you know, with time being permitted to talk a little bit more about, you know, what's on this, this roadmap and how we're seeing for the Skywalker. So for those that aren't necessarily familiar with cortex. So this is our product in the middle here that you can think of almost as this AI middleware, um, that's, that's really cloud agnostic. And, you know, just briefly I would say that what we do is we take, you know, data that's being persisted in your premise and cloud, along with all the models that have been created, not just machine learning models, but these could be successful, uh, legacy statistical algorithms.  They can be RPA bots, they can be deterministic algorithms. And, but we do as we bridge that gap to get to these trusted outcomes, which is more around these intelligent applications, intelligent processes, it's accelerating your time to value of how you can get from data and insights to action and learning. The two products that we have that come follow in this cortex umbrella is fabric, which is going to be the focus on today presentation, which automated to the AI development life cycle. But we also have to certify, um, which is really all around automated that AI control and provide trust and transparency, uh, to your machine. ","To give a brief overview of cotex IP you can think this has a product of almost as AI middleware which is really cloud agnostic and briefly I would say that what we do is we take, you know, data that's being persisted in your premise and cloud, along with all the models that have been created, not just machine learning models but also legacy statistical algorithms. we do as we bridge that gap to get to these trusted outcomes, it's accelerating your time to value of how you can get from data and insights to action and learning.The two products that we have that come follow in this cortex umbrella is fabric, which automated to the AI development life cycle. "
"Yeah. Um, I, now these whole this'll be  Enhancements to the existed, you know, cortex instance that's being used for service experience. So it would have to be a different instance to prove out that. ",This will be an enhancement to the existing Cortex instance. 
"Salespeople, you know, Marine goes and sells something new to Verizon, right? I want it to be part of, uh, of, of something that, that, uh, it gets planned. It gets managed. It has software associated with it has, you know, uh, uh, obligations back to the client. It has success or failure or, you know, whatnot, and it can be used for other, uh, other other kinds. So, so the idea we have a campaign is, is, is an object that is something we can actually discuss with the business people, right? Not, not, not simply, you know, a software template, but a way to connect everything we're doing right. ","Software has some obligations back to the client. It has success or failure it can be used for other kinds. The idea is we have a campaign is, is, is an object that is something we can actually discuss with the business people."
"These updates to, uh, cortex.  One of the real critical path items here is the developer panel in our one for X ring. And one for fours. I know that a DP is ahead of the game. He's got already, people identified that legato, which is great. We now need to figure out who else on the album side, where are we on that? Because to me that's really critical to get, get run right, right away is yeah. ","DP is ahead of the game of real critical paths items ,developer panel is one for X ring and four hours. We need to figure out who else on the album side."
"Exactly. It's it's, it's almost a need like in number one is, uh, is it's mission scenarios. Yeah, exactly. And you need simulations and you, you, you kind of rapidly iterate and, and no code kind of zone you get into, again, I don't want to pick this scenario, go implement it. Then you. ",Idealy first step in the pipeline should be mission scenarios and next is mission simulation
Yeah. If I'm what I was going to say. ,I am saying that.
A little more video friendly here. Sorry about that. ,I am video friendly
"As successful as well. You're the convening chair of the telecom. We have some telecom committees and making standards for, uh, open, uh, interconnection of these kinds. ",We have some telecom committees and making standards for opening interconnection of these kinds. 
"Mission examples that the developer will walk through before they say, okay, I've got it. ",Developer should understand the mission examples before they say.
"Yeah. In the, in the stool, if you have that 3d picture there, you may want to Paul show the, the campaign in our permit SMEs and the first together have to define it. Right. Correct. Cross cross-functional teams. Right. So yeah, basically how so, uh, likely to reject, uh, likely to reject for ASL customers. And so you're probably likely working with the claims process, you know, SMI, uh, plus data science plus developer defining. Okay. W what level of granularity do you want to black this out? And then this environment basically gives the thing gives you the implementation mechanism and the development mechanism to go do that, but you're not, I think go to yours, you're asking, is, would you trust developers to go create campaigns on their own? Most likely now, in some cases you may do it. Uh, it's you're doing a AB test of like, would, uh, you know, a display ad the better if they were on the top of an app or the bottom of an app, that one, you know, sure. You might want to have a developer go do that. But for most things, you're probably looking at, you know, a combination of subject matter expertise, data science. Yeah. ",We need to define the campaign in our permit SME's.basically how likely reject for ASL custmoers.This environment gives you the implementation and development mechanism to do that.
"Yeah, let's do it. They share my screen, John. ",let's do it.
"Yeah, exactly. I think the business would be that I talked or just not be as exactly that we have resources. Yeah. ",I think the business would be that I talked or just not be precise that we have resources.
"And the next meeting we will be discussing with each team. What is your plan? How you are going to proceed. Cool so any questions? So I guess major questions will start coming once you go through the transcripts. So I guess atleast by today I would require that you guys come up with a strategy of what exactly you are extracting what intents you are extracting or topics you are extracting, matching of current mom with the generated mom and like that. Whatever is the analysis, you guys come up with that. By tomorow, in the next meeting, we will be discussing with each team what's the plan and how you are going to proceed further.",Major questions will start after through the transcripts. Come up with a strategy of what we are extracting for intents or topics.
"Um, and then, you know, and then if you look at the bottom, so, right. So the whole, um, you know, at creation execution, simulation launch, we expect that to be all running through the workOS run time.Right, which is The Force which is combination  cortex  and ACS","We expect creation,execution, simulation and launch will be running through the The Force which is a combination of cortex  and ACS."
"We can move on. Um, yeah, let me, let me see about pulling up my notes. I'm gonna stop. ",We can move to next topic.
Define that as a use case that began solving. Right. So I think business utility will be something that I'll put on the top. , I think business utility will be something that I'll put on the top. 
"To clarify for my, my benefits. No,  I'm just thinking through the process here. Right? So we have. ",I'm just thinking through the process here.
"If Patrick, I think it will be great for, for a connection between Raj and niche and everything that I stated, because there was a lot of work on the ESX side that is happening exactly on the same part in terms of training and, and knowledge transfer and everything and niche. Correct me if I'm wrong. And then we can kind of see what are the best practices from there, which can be expanded out here. ","There was a lot of work on the ESX side happening on the same part in terms of training, knowledge transfer and niche. The best practices cab be selected from there and then expand them here. "
"We'll be integrating it. I mean, Sean, you know, you, you, you've got, you've got such great work already done on this that, you know, let's plan on let's plan ahead of in Matt and your frameworks into the Cox scale environment. Um, that wa whether or not we can accomplish the full general howdy of that four. ",We will integrate it. Let's plan ahead of Matt and your frameworks into the Cog scale environment if we can achieve a overall how to do of that.
College in house and extended to legato as is being ordered. ,College in house and extended to legato as is being ordered. 
"Well, you know, I think one of the things here is, is we, we're not going to get to any great level of detail today because, you know, there's just so much richness to the, to this environment and the tooling and the design approach. Um, let me just say that I've, I've spent, I've spent a fair amount of time already on the documentation, reading through the infrastructure, going through the, the, the, uh, uh, CA AML, camel, uh, markup language model, which essentially is part of the way you integrate existing systems. And I want to tell everybody that what's here is, is extremely rare. ","Inorder to integrate existing systems it takes a fair amount of time on documentation ,Analysing the infrastructre and going through themarkup language  model.The information existing here is extremly rare."
"Yeah, I think that's where I was going. Is that, how do we, how do we really bridge that gap out there is the key and the number six, which is the mission plan templates. Right. I don't know whether it belongs just there are, we should, we should see if in case we can reposition that because the template also, uh, is going to match to the design that you do. So, yeah. ",We need to find a way to bridge the gap and also we need to reposition the mission plan templates
"Yeah, Kathleen is, you can send Rajiv the, the outline that you have and Melissa created kind of all the different tracks that we're going to provide an update on. Then that is one and more coalesced. So, um, to send that, and I think we can. ",Rajiv to be sent an outline that Melissa created
Panelists going to be incredibly important. ,In group everyone is important.
"This, this is just, I'm really quick on that, that particular piece. So I think maybe there's opportunity to think about, well, the marketplace, let's say you have AI engine. I campaign based on purpose, uh, you know, low intensity yard control. So let's say, you know, we have some developer building a bunch of stuff and based on the measurement, that's already fully optimized, then that, that wouldn't be a choice again for other things, right? And they shouldn't have a kind of recreate another like VR, that layer campaign that whatever that proven, you know, and it should be already in your marketplace that people should grab and go to solve that particular business challenge. No problem. Versus actually having the flexibility of creating a bunch of other stuff. So how do we turn this into a more unique templates for solving kind of a structured, you know, a list of problems eventually versus the, you know, manually creating many, many different campaigns, which you may not. ","In campaign based on low intensity yard control, we have some developer buildng a bunch of stuff on the measurement that are fully optimized it should be already in the market place that people should grab and solve that particular business challenge.So how do we turn this into a more unique templates for solving kind of a structured list of problems."
"Okay.  Before we tend, before we talk about use cases, can we talk about like, there's some blockers getting to use cases if we thought of a thousand use cases and we had the winning one, we have some blockers before we can actually get there. So can we kinda hit that first? And then we'll dive into this. ",Can we discuss the blockers first that we get while getting to the use case and then dive into the use case.
"Um, and colony, you know, we have to see what is Amelia of some other total PROMESA and about, but I agree. Um, so two weeks on the. ",we have to see what is Amelia of some other total PROMESA.
"Anything that stood out, just maybe a point or two, just know there there's 300 pages of documentation and feedback. Is there anything you found useful? Um, maybe a couple of things they might find that stuck out to you. ",Any useful points found in the 300 pages of documentation can be discussed.
Not necessarily sitting on a critical path. Right. But they could be. ,They could be sitting on a critical path.
"Um, the step, Melissa, I think you wanted the word. ",Melissa wants in the Microsoft Word Format
"And sub select from there and say, let's, let's leverage Work OS for that, for sure. But if that timing doesn't fit with what you're looking for, I still think some of the stuff , you know, you've got kind of a spreadsheet of. ","Let us leverage WorkOS for that and for some of the stuff, I guess you have got a spreadsheet."
"Sure. Yeah. Himanshu, The one which you shared the list of activities, which the team has to do, right. ",You shared the list of activities which the team has to do.
"  We have a lot of people still missing, but you know what? I think, I think they have enough to get started. ",Lot of people missing but enough to start the meeting
"Yeah. So I think, yeah, I just want to make sure that, I think that is very, very important for us to understand this too. So Manoj, what you stated as is, right, right. But I just want to make sure that there are two repositories of use cases that we are talking about. One is basically, uh, a business use case we are in, we are driving a material change in terms of how a function is done, which is around BI stars, ideas day and everything. Right. ","Wanted to make sure that there are two use cases. One is a business case which is around BI stars, ideas day and everything."
Before you dive in  New people that are on the call. Could you do that?  Just a 30 second bio of who you are and your background. ,New people to give their 30 second bio.
Go with what are the tools and things that we are developing that is making our work. ,Use tools and things which we are developing that are making our work.
"Yeah, no, that makes sense. It makes sense. So I think I, uh, I would say that, you know,  I think we should, we should have our existing workforce available out there, which is transitioning to doing exactly these, these two cohorts type of work and everything and, and make sure that that initial wedding out of the, of the platform is done. And then as we, as we mature the platform, work out the kinks and everything, then they go into what, you know, the team that Prashant or. ",A workforce should exist which adapts to doing these two cohorts type of work and ensure that initial wedding out of the platform is done.
We get this to GA coming up with a library of heatmaps or. ,We will get this to GA and come up with a library of heatmaps.
"Okay, because we haven't, uh, we're still working towards. ",We are still working towards it.
Sure. There's no programming. Correct. ,Programming is not neccesary.
"You have been doing using Pegasus or T five after that, you will have to see after. ",using Pegasus or T five.
"So today, whose MOM writing date was, The third person after Bhanu?",After Bhanu whose MOM writing date it is?
"Yeah, or do we need to make sure that they're on they're on a dashboard? So we don't paint ourselves in a corner and grill something bad. ","Don't paint ourselves and grill something bad , because we make sure everything on dashboard."
How do we integrate our PC into the two ways? ,How to integrate PC into the two ways?
"Typically around government business. And I think there's a thousand use cases that have occurred to us in the last month or so of things we want to do, but it's gotta be important enough to be useful to the company that it's not just the toy. Right. And it's gotta be important enough that, you know, we make that it's, um, uh, that, that, that people will care about it, uh, that we care about it. And it's gotta be not so complex that, um, you know, it, uh, can, can 10,000 systems need to be glued together. So we'll probably need, you know, a dozen or so systems that already exist that we can anticipate. And so the homework assignment here for, for tomorrow, ",There are thousands of use occuring to us around the government business we need to make something important that people will care about and we care about.It cannot be complex like combining all the systems instead using the existing dozen systems which we can anticipate.
"Conversation early on today on this topic. Um,  And, um, I think. ",deepen conversation on this topic today.
"But parallely, you would also look at that and come up with ideas. Okay. Next. ",Come up with the ideas.
"Check his guide and that's Marvin the festival.  And when you do hear what the question is, is you'll be depressed. ","Check his guide.When you do hear  the question, You'll be depressed. "
And you will be independent strategies. That's why. ,Because you will be independent strategies.
"Local as well as running the platform and everything, and trying to make sure that the platform is doing what it needs to do. Right? Yup.  The true North true North is scaling forth from legato, with lesser skills where they can start creating this X, AI application. And then the agent. ","Local, running the platform and making sure that the platform is doing what it needs to do. The true North is scaling forth from legato, with lesser skills where they can start creating this AI application."
"Yeah,  Uh, this is Steve said it, I just, uh, it was a question just looking at the use cases and knowing what the goal is, um, with the last use case around the data sitting outside of the cortex platform, right? It's not in the profile of one, it's really a data store that's managed outside. So we're getting more of interface, uh, you know, data structure instead of, you know, database data structures. So I didn't know if there was discussions, um, on how I guess architecturally, you know, does it influence the, the approach with the, you know, the development tooling, whether the data sits inside the profile of one, or if it sits outside, um, ",The goal with last use case is a data store which is managed outside the cortex platform.
"Well, we have this thing of like the get weather as a, as an abstraction, right. Where you're able to point to different implementations of that. And then for each of those implementations, they can be perfect effectively. So from there you could have like harsher zone, right? Get weather, API call, and then that can then be incrementally purchase, but you should be able to swap in and out different implementations, um, and test it accordingly for what it is they are trying.  So  There's version at the interface level, which you're seeing their executive weather, but there's also, you know, multiple different types of implementations versioning for each one of those that are supported as well.  So. ","Well, if you are able to point different implementation, they can be perfect effectively,with API call you should able to swap in nad out different implementations and test accordingly. Multiple versions for each one of those that are supported well."
"We have those discussions to O-Shot into this week. Um, you, I would have saw do given the, uh, an hour of session today, what he did not. So. ",I would have given an hour of session today.
"Yeah. Yeah, definitely. That's exactly what I said. Uh, sorry. Uh, for the next meeting, when we come, we bring the, the other diagram, which will have the cortex as part of the areas or not the together and how one single, uh, consolidate view of that. But, uh, ",In next meeting we bring other diagram which will have cortex as a part of areas or single.
"That's just creativity. So yeah. Showed me, I think two minutes here. Right? So guys, I think this is, you know, when we looked at the last week, you know, that that's tax light energy on review to do it. What we're envisioning here is, you know, think of this as a pipeline or an assembly line of hollered developer journey will look like right from beginning to end. And we kind of discern in 10 steps and it could be more, it could be less, but this is kind of how we think of taking a developer through a series of steps here towards the development and implementation of the AI mission or the campaign. Right? So if we start at the very top here, the very first, like we talked about, right, because the developer portal being the one stop shop for developer community, right? We have to leverage, uh, you know, either an existing set of API data sets from Anthem data fabric or perhaps models for marketplace.  You think of this as one starting point for all of these assets to come in. And then as you're taking this into the next step, which is, you know, we expect as these data sets and models are brought to bear, that has to be a trust angle towards it so that we can stand using a set of quality metrics. And this is where we have certified, which is one of our offerings within cortex that allows you to create basically these trusted indexes on top of data sets and models. And once you get past step number two, right now we can English and that getting published into an air marketplace, right? They think of this first, these centers are most like an acid, right? The only thing is, are they extending this on, they're publishing this for a broader consumption. Uh, and this could be, this is all going to be packaged as in a cortex components, rather than these are skills, datasets models, et cetera.  Right? So do you think of these as a nice little package container artifacts, that's going to be made available with some manifests that you can search browse and you're subscribed to it. And then you also have to have a capability to add, not just anthems data sets, but also have other partners and ISP data sets this, our community resource, you know, allergy forecasts the capacities, et cetera, et cetera. That's what we want to be able to have the market piece, being a market place for what private assets or publicly available data is at the models. Uh, so that we can start consuming that into the next steps, which is really starting to think of these as ingredients right now, these are brilliant snare. We expect a developer to start going into this ID, right? And that's why you see the arc, right? This is, is in the context of an , which I think is going to be a combination of cortex ads and the object model that we talked about here, right?  So using this as the platform or the IB, you know, a developer convenience change sheet, or create, you know, a goal oriented in a campaign, but the campaign itself, and maybe at a higher level, this is not a fraud detection in any one of those top things that we want to measure goals and needs. But then when you drill down into that one going into step six, this is where you start defining, set up missions. You know, again, keeping in line with the military terminology, a campaign could be a larger campaign, right? Which could be several years, several months long, but because visions are short term, you know, that are geared towards the attainment of a campaign goal and to be a illusion, right? That as we progress, as we mature, we can think of missions being made available for the proper assess templates so that they don't need to start from the scotch. Right. For example, if I were to search for a mission around handling type two diabetes risks and interventions, perhaps there is a catalog of these templates that wanted sub-site to and selected an instruction sheet. If the most like starting the word template, instantiate a word document. Once you have that, you know, this is going to expect the local developer to start configuring, you know, this mission right around whether it's more parameters. ","Developer journey kind of discern in 10 steps.First step is developer community where we leverage API,data sets,models. Next step is to bring data sets and models to certifying next step is to containerize as a cortex components and also these containers can hold private data as well as anthem data.Next step is defining missions and as we progress these missions are made available just like templates within cortex.And final step is mission simulation and launch."
"And specifically centered around work coalesce, which is one of, sort of multiple tracks around the future to work. ",It will be centered around Work OS
"No, I didn't have anything else. Thank you.  May I just ask, uh, one other thing, there was a couple of items that were discussed in last week's meeting with regards to jive and hive. And I think, um, Frederick, it was a new action item or a new, uh, follow-up, uh, to add jive and hive his goals for hello world. And then also there was a, uh, followup or action item for Eric. And I don't think he's still on the line bred shot shard, um, to do the follow-up on the hive progress. So, uh, is that something we can put for next week?  Yeah, let's set that for next week. ",There was a action item or a follow-up to add jive and hive goals for hello world. Let's set that for next week. 
